"primaryName","birthYear","deathYear","nconst","nconst_short"
Georgia Wilson,\N,\N,nm0933448,nm0933448
Hal Wilson,"1861","1933",nm0933479,nm0933479
Harry Leon Wilson,"1867","1939",nm0933491,nm0933491
John Fleming Wilson,"1877","1922",nm0933640,nm0933640
John P. Wilson,\N,\N,nm0933643,nm0933643
Lucile Wilson,\N,\N,nm0933780,nm0933780
Margery Wilson,"1896","1986",nm0933805,nm0933805
Millard K. Wilson,"1890","1933",nm0933878,nm0933878
Tom Wilson,"1880","1965",nm0934232,nm0934232
William J. Wilson,"1874","1936",nm0934300,nm0934300
Woodrow Wilson,"1856","1924",nm0934306,nm0934306
Simeon Wiltsie,"1853","1918",nm0934399,nm0934399
Forrest Winant,"1888","1928",nm0934524,nm0934524
Fred Windemere,"1892","1970",nm0934669,nm0934669
Red Wing,"1884","1974",nm0934969,nm0934969
William E. Wing,"1869","1947",nm0934979,nm0934979
Herbert Hall Winslow,"1865","1930",nm0935488,nm0935488
Bottles Winter,\N,\N,nm0935675,nm0935675
John Strange Winter,"1856","1911",nm0935763,nm0935763
Winona Winter,"1889","1940",nm0935849,nm0935849
Carl Winterhoff,"1874","1937",nm0935879,nm0935879
Barbara Winthrop,\N,\N,nm0936051,nm0936051
Thomas A. Wise,"1865","1928",nm0936420,nm0936420
Owen Wister,"1860","1938",nm0936644,nm0936644
L.J. Withers,\N,\N,nm0936738,nm0936738
Chester Withey,"1887","1939",nm0936767,nm0936767
Darr Wittenmyer,"1888","1940",nm0937006,nm0937006
Mattie Witting,"1863","1945",nm0937058,nm0937058
Max Wogritsch,"1880","1951",nm0937377,nm0937377
William Wolbert,"1883","1918",nm0937581,nm0937581
Helen Wolcott,"1892","1985",nm0937599,nm0937599
Sofus Wolder,"1871","1914",nm0937628,nm0937628
Frank E. Wolfe,"1869",\N,nm0938041,nm0938041
Jane Wolfe,"1875","1958",nm0938059,nm0938059
W. Carey Wonderly,"1885","1931",nm0938878,nm0938878
Frank Wood,\N,\N,nm0939702,nm0939702
George Wood,\N,\N,nm0939717,nm0939717
Mrs. Henry Wood,"1814","1887",nm0939904,nm0939904
N.Z. Wood,"1857","1936",nm0939908,nm0939908
Nancy Mann Waddel Woodrow,"1875","1935",nm0940425,nm0940425
Eleanor Woodruff,"1891","1980",nm0940450,nm0940450
Henry Woodruff,"1869","1916",nm0940457,nm0940457
Frank E. Woods,"1860","1939",nm0940488,nm0940488
Jack Woods,"1897","1942",nm0940629,nm0940629
Lotta Woods,"1869","1957",nm0940689,nm0940689
Fred Woodward,"1882","1960",nm0940927,nm0940927
Dean C. Worcester,\N,\N,nm0941388,nm0941388
Emmy Worm-Müller,"1875","1950",nm0941525,nm0941525
Jean Worms,"1884","1943",nm0941542,nm0941542
Duke Worne,"1888","1933",nm0941562,nm0941562
Adele Worth,\N,\N,nm0941652,nm0941652
William Worthington,"1872","1941",nm0941782,nm0941782
Ethel Wright,"1891","1958",nm0942385,nm0942385
Mabel Wright,"1880","1972",nm0942610,nm0942610
Walter Wright,"1885","1958",nm0942917,nm0942917
Fred Wulf,\N,\N,nm0943255,nm0943255
Marius Wulff,"1881","1953",nm0943285,nm0943285
Fred Wyatt,\N,\N,nm0943544,nm0943544
Jessie Wyckoff,"1881","1969",nm0943625,nm0943625
Edward Wynard,"1889","1927",nm0943896,nm0943896
Olive Wyndham,"1886","1971",nm0943913,nm0943913
Edgar G. Wynn,\N,\N,nm0943957,nm0943957
Bert Wynne,"1889","1971",nm0944017,nm0944017
Gladys Wynne,"1889","1964",nm0944028,nm0944028
Margarita Xirgu,"1888","1969",nm0944584,nm0944584
Varvara Yanova,"1890","1943",nm0946238,nm0946238
Norman Yates,"1880","1918",nm0946801,nm0946801
Kathleen Yorke,"1898","1984",nm0948803,nm0948803
Barry O'Moore,"1879","1945",nm0949133,nm0949133
Charles Young,\N,\N,nm0949372,nm0949372
Clara Kimball Young,"1890","1960",nm0949403,nm0949403
Frank Young,"1889","1951",nm0949546,nm0949546
George Young,\N,\N,nm0949565,nm0949565
Howard Irving Young,"1893","1952",nm0949617,nm0949617
James Young,"1872","1948",nm0949648,nm0949648
Lucille Young,"1883","1934",nm0949841,nm0949841
W.W. Young,\N,\N,nm0950148,nm0950148
Henry Youngman,"1846","1940",nm0950268,nm0950268
Mimi Yvonne,\N,\N,nm0951258,nm0951258
Otto Zahrádka,"1882","1939",nm0952034,nm0952034
Orestes A. Zangrilli,"1881","1965",nm0953014,nm0953014
Stanislaw Sebel,"1886","1946",nm0954051,nm0954051
Ferdinand Zecca,"1864","1947",nm0954087,nm0954087
Erich Zeiske,\N,\N,nm0954390,nm0954390
Carl Zickner,"1863","1939",nm0955998,nm0955998
Lili Ziedner,"1895","1939",nm0956049,nm0956049
Marison Ziegfeld,\N,\N,nm0956070,nm0956070
Mignon Ziegfeld,"1871","1966",nm0956071,nm0956071
Bruno Ziener,"1870","1941",nm0956272,nm0956272
Manny Ziener,"1887","1972",nm0956274,nm0956274
Gyula Zilahi,"1859","1938",nm0956428,nm0956428
Émile Zola,"1840","1902",nm0957652,nm0957652
William Zollinger,"1874","1946",nm0957703,nm0957703
José Zorrilla,"1817","1893",nm0957979,nm0957979
Pedro Zorrilla,\N,\N,nm0957985,nm0957985
Béla Zsitkovszky,"1868","1930",nm0958169,nm0958169
Adolph Zukor,"1873","1976",nm0958532,nm0958532
Fru Zwinge,\N,\N,nm0959065,nm0959065
Waldemar Zwinge,\N,\N,nm0959066,nm0959066
Serafín Álvarez Quintero,"1871","1938",nm0959358,nm0959358
Olof Ås,"1892","1949",nm0959818,nm0959818
Henri Étiévant,"1870","1953",nm0959921,nm0959921
Elinor Kershaw,"1884","1971",nm0989460,nm0989460
Claude Grahame White,\N,\N,nm0992180,nm0992180
Gustav Hamel,\N,\N,nm0992512,nm0992512
Marie-Louise Derval,"1884","1965",nm0993508,nm0993508
József Katona,"1791","1830",nm0997193,nm0997193
Robert Leonard,"1888","1948",nm0998466,nm0998466
Raffaele Giovagnoli,\N,\N,nm1000925,nm1000925
Alexander Christian,"1881","1937",nm1003261,nm1003261
Robert McWade Sr.,"1835","1913",nm1004685,nm1004685
Fridrikh Reyngardt,\N,\N,nm10094537,nm10094537
Bertina Smith,\N,\N,nm1009574,nm1009574
Alfred Collins,\N,\N,nm10102653,nm10102653
Alfred Dampier,"1843","1908",nm1010943,nm1010943
Beatrice Day,\N,\N,nm1010955,nm1010955
Mr. Graham,\N,\N,nm1011210,nm1011210
Elliot Schenk,\N,\N,nm10125293,nm10125293
Blair,\N,\N,nm1012587,nm1012587
Harold Graham,\N,\N,nm1012612,nm1012612
John Jones,\N,\N,nm1012621,nm1012621
Robert Stronach,\N,\N,nm10130532,nm10130532
W. Chrystie Miller,"1843","1922",nm1013170,nm1013170
Alfredo Bracci,\N,\N,nm1014493,nm1014493
Charles Cozens Spencer,"1874","1930",nm1014629,nm1014629
Frederick Melville,"1877","1938",nm1015268,nm1015268
N. Semyonov,\N,\N,nm1022174,nm1022174
Herr Limberg,\N,\N,nm10236280,nm10236280
Herr Jehrisch,\N,\N,nm10236281,nm10236281
Herr Lehmann,\N,\N,nm10236282,nm10236282
Ferdinand Gýra,"1861","1933",nm1024447,nm1024447
Camilla Eibenschütz,\N,\N,nm10244897,nm10244897
Josef Kricenský,"1874","1930",nm1024681,nm1024681
Mrs. Henry Lytton,"1864","1947",nm1026117,nm1026117
Lucille Browne,"1876","1967",nm1026284,nm1026284
Flora Foster,"1898","1914",nm1026322,nm1026322
John Reinhardt,"1885",\N,nm1027262,nm1027262
Giuseppe Gambardella,"1880","1950",nm1029576,nm1029576
Nikolai Vekov,"1870",\N,nm1033426,nm1033426
Randolph Feelgood,\N,\N,nm10342565,nm10342565
Caldwell,\N,\N,nm1037251,nm1037251
Mr. James,\N,\N,nm1040375,nm1040375
Sabine Impekoven,"1889","1970",nm1045638,nm1045638
Josef Schelepa,\N,\N,nm1046695,nm1046695
Hermine Solti,"1887","1966",nm1046841,nm1046841
Arthur Ullmann,"1885",\N,nm1047053,nm1047053
Mme. Ondine,\N,\N,nm10501864,nm10501864
José Yepes,\N,\N,nm1050849,nm1050849
Tom Haverly,\N,\N,nm1052580,nm1052580
Anna Sedlácková,"1887","1967",nm1053222,nm1053222
Karel Vána,"1867","1951",nm1059690,nm1059690
Marco Lienhard,\N,\N,nm10597556,nm10597556
Beth Taylor,"1888","1951",nm1059958,nm1059958
Mihály Nádor,"1882","1944",nm1060948,nm1060948
Jess Dandy,"1871","1923",nm1065030,nm1065030
Matild Gyõry,"1879","1961",nm1065378,nm1065378
Edvard Jacobsen,"1879","1941",nm1069398,nm1069398
Agnes Lorentzen,"1874","1947",nm1069712,nm1069712
Magna Redøhl,"1878","1946",nm1070136,nm1070136
Nicholas Rowe,"1674","1718",nm1071095,nm1071095
Victoria Petersen,"1865","1944",nm1071728,nm1071728
Bret Hampton,\N,\N,nm1071930,nm1071930
Frank Pementel,"1889","1934",nm1073465,nm1073465
Josephine Rector,"1885","1958",nm1073527,nm1073527
Charles Tipton,\N,\N,nm1074398,nm1074398
G.C. Colonna,\N,\N,nm1076272,nm1076272
Lucy Sibley,"1864","1945",nm1077941,nm1077941
Rachel Gillet,\N,\N,nm1089829,nm1089829
Adél Marosi,"1878","1956",nm1090550,nm1090550
Alajos Mészáros,"1877","1920",nm1090737,nm1090737
Sam Cunningham,\N,\N,nm1096012,nm1096012
Joseph Dennis,\N,\N,nm1096199,nm1096199
Gladys Du Pell,"1893",\N,nm1096358,nm1096358
Harry Hartzell,\N,\N,nm1097174,nm1097174
Anton Ascher,\N,\N,nm10980419,nm10980419
A. Baldwin Sloane,"1872","1925",nm1100197,nm1100197
Andor Szakács,"1865","1924",nm1100459,nm1100459
Walter E. Seig,\N,\N,nm1102226,nm1102226
Péter Andorffy,"1856","1919",nm1104569,nm1104569
Grace Pierce,"1858","1923",nm1106102,nm1106102
Sándor Szõke,"1880","1970",nm1106499,nm1106499
David Barnett,\N,\N,nm1108042,nm1108042
A.H. Frahlich,\N,\N,nm1109179,nm1109179
Adorján Nagy,"1888","1956",nm1110269,nm1110269
Frederick Opper,"1857","1937",nm1112850,nm1112850
Eugenio Bava,"1886","1966",nm1113433,nm1113433
Abraham Lincoln,"1809","1865",nm1118823,nm1118823
Doris Johannessen,\N,\N,nm11189766,nm11189766
Irene Vernon,\N,\N,nm1121434,nm1121434
James White,\N,\N,nm11225194,nm11225194
Vita Blichfeldt,\N,\N,nm1125338,nm1125338
Charles F. Coghlan,"1842","1899",nm11255945,nm11255945
Willy,"1859","1931",nm1129529,nm1129529
Pongrác Kacsóh,"1873","1923",nm1132546,nm1132546
Filoteo Alberini,"1865","1937",nm1135106,nm1135106
Robert Hood Bowers,"1877","1941",nm1135428,nm1135428
William Howard Taft,"1857","1930",nm1138324,nm1138324
William Holland,\N,\N,nm1140362,nm1140362
R.C. Carton,"1853","1928",nm1141114,nm1141114
Claire Kroell,\N,\N,nm1141827,nm1141827
J.H. Hazelton,\N,\N,nm11441582,nm11441582
Robert Stanton,\N,\N,nm1144519,nm1144519
John Russell Corvell,\N,\N,nm1145098,nm1145098
Betty Hartigan,\N,\N,nm1145456,nm1145456
Murray Herbert,\N,\N,nm1145473,nm1145473
Scott Marble,"1847","1919",nm1145809,nm1145809
Alfred Boyd,\N,\N,nm11461975,nm11461975
Enrique García Álvarez,"1873","1931",nm11468708,nm11468708
Nancy Avril,\N,\N,nm1147710,nm1147710
Miriam Collins,\N,\N,nm1148236,nm1148236
Georges Coquet,\N,\N,nm1148255,nm1148255
Kathryn Dana,\N,\N,nm1148349,nm1148349
Henry Grammar,"1883",\N,nm1148936,nm1148936
Edwin Hickok,\N,\N,nm1149121,nm1149121
Marguerite Marquis,\N,\N,nm1149906,nm1149906
John Russel Coryell,\N,\N,nm11502077,nm11502077
Lucy d'Orbel,\N,\N,nm1150343,nm1150343
Jane Renouardt,"1890","1972",nm1150660,nm1150660
Félicien Trewey,"1848","1920",nm1151424,nm1151424
Karl Werner,\N,\N,nm1151675,nm1151675
Charles Fuqua,"1875",\N,nm1151934,nm1151934
Arthur Patrick 'Pat' Long,\N,\N,nm1151967,nm1151967
Frank Smiley,\N,\N,nm1152008,nm1152008
Lotte Müller,"1901","1972",nm1152083,nm1152083
George Allaine,\N,\N,nm1154568,nm1154568
Neil Broaded,\N,\N,nm1154771,nm1154771
A.W. Collins,\N,\N,nm1154913,nm1154913
George Hooker,\N,\N,nm1155414,nm1155414
Betty Kastner,\N,\N,nm1155538,nm1155538
Ralph Kennedy,\N,\N,nm1155556,nm1155556
Paulette Lorsy,\N,\N,nm1155732,nm1155732
Hugh Mosher,\N,\N,nm1155933,nm1155933
Richard Trethwick,\N,\N,nm1156590,nm1156590
Ethel C. Unland,\N,\N,nm1156622,nm1156622
Josephine West,\N,\N,nm1157425,nm1157425
O.H. Nelson,\N,\N,nm1157815,nm1157815
William Bodie,"1886","1948",nm1158467,nm1158467
Lew Harkness,\N,\N,nm1159153,nm1159153
Mona Knoll,\N,\N,nm1159457,nm1159457
Judson Melford,"1900","1978",nm1159766,nm1159766
Ernst Munkeboe,"1868","1943",nm1159832,nm1159832
Eileen Paul,\N,\N,nm1160010,nm1160010
C. Rhys Pryce,\N,"1915",nm1160080,nm1160080
Knute Rahm,"1876","1957",nm1160117,nm1160117
Arthur Travers,\N,\N,nm1160549,nm1160549
Kate Winston,\N,\N,nm1160705,nm1160705
Walter Healey,\N,\N,nm1160942,nm1160942
F.E. Montgomery,\N,\N,nm1166458,nm1166458
Henry Gillen,\N,\N,nm11665864,nm11665864
John Revett,\N,\N,nm1167224,nm1167224
Louis Tunc,\N,\N,nm1168170,nm1168170
Helen Castle,\N,\N,nm1169675,nm1169675
Léon Laffitte,\N,\N,nm11698541,nm11698541
H. Kyrle Bellew,"1850","1911",nm1173635,nm1173635
Marie Dorly,\N,\N,nm1173967,nm1173967
Jesse Robinson,"1890",\N,nm1174665,nm1174665
John Townsend Trowbridge,"1827","1916",nm1176759,nm1176759
Charles J. Grahm,\N,\N,nm1178542,nm1178542
Don Luis Terrazas,\N,\N,nm1179300,nm1179300
Suzy Depsy,\N,\N,nm1181073,nm1181073
William R. Sadler,\N,\N,nm1183167,nm1183167
Charles Hoskins,\N,\N,nm1189670,nm1189670
Albert McGovern,"1882",\N,nm1190291,nm1190291
Edwin Alexander,\N,\N,nm1191628,nm1191628
Katharine Lewis,\N,\N,nm11957982,nm11957982
Betty Emerson,\N,\N,nm1197649,nm1197649
Suzanne Faes,\N,\N,nm12011828,nm12011828
Ibolyka Kaczér,\N,\N,nm12016940,nm12016940
Tibor Kaczér,\N,\N,nm12016941,nm12016941
Eugenia Tettoni Fior,\N,\N,nm1204409,nm1204409
Walter Melville,"1875","1937",nm1206019,nm1206019
Mary Fry Clements,\N,\N,nm1206604,nm1206604
B.S. Ingemann,"1789","1862",nm1206972,nm1206972
Alberta Roy,\N,\N,nm1207539,nm1207539
Castelo Branco,\N,\N,nm1209346,nm1209346
J.H. Martin,"1874",\N,nm1210247,nm1210247
Mabel Halsey,\N,\N,nm1211519,nm1211519
Hal August,"1890","1918",nm1212424,nm1212424
Rosanna Bainbridge,\N,\N,nm12139966,nm12139966
Jane Stewart,\N,\N,nm1215402,nm1215402
Brunnet,\N,\N,nm1215996,nm1215996
Madeleine Céliat,\N,\N,nm1216205,nm1216205
Flora R. Snyder,"1873","1952",nm1217957,nm1217957
H.B. Marriott Watson,"1863","1921",nm1218280,nm1218280
Arthur Balfour,\N,\N,nm1220249,nm1220249
Dwight Mead,"1885",\N,nm1221307,nm1221307
Lucy Sheldon,\N,\N,nm1221809,nm1221809
Marguerite Wolff,\N,\N,nm1222085,nm1222085
Blanche Ayers,\N,\N,nm1222231,nm1222231
Ed Harper,\N,\N,nm1222931,nm1222931
Arthur Gandi,\N,\N,nm1225415,nm1225415
Carmen Ruiz,\N,\N,nm1230894,nm1230894
F. Reinhardt,\N,\N,nm1234058,nm1234058
S. Tarasov,\N,\N,nm1234552,nm1234552
Paul Thiemann,\N,\N,nm1234590,nm1234590
Walter Turszinsky,"1874","1915",nm1234686,nm1234686
Petermann Etterlin,\N,\N,nm12367344,nm12367344
H. Scott Salinas,\N,\N,nm1242185,nm1242185
Paul Raas,\N,\N,nm1245597,nm1245597
Jane Day,\N,\N,nm1247398,nm1247398
Edward LeSaint,"1870","1940",nm1250355,nm1250355
Forrest Macomber,\N,\N,nm1252330,nm1252330
Miss Tafft,\N,\N,nm1253410,nm1253410
Jean,\N,\N,nm1255970,nm1255970
Die Garde Füsilier-Regiment,\N,\N,nm12577271,nm12577271
Hans Neergaard,"1865","1926",nm1261170,nm1261170
Lydia De Roberti,\N,\N,nm1263330,nm1263330
G.T. Evans,\N,\N,nm1263399,nm1263399
P. Herbert,\N,\N,nm1263553,nm1263553
Bernardine Prissi Leist,\N,\N,nm1263721,nm1263721
Xavier Guillaume Mertz,\N,\N,nm12639004,nm12639004
Belgrave Edward Sutton Ninnis,\N,\N,nm12639005,nm12639005
Madame Pilar-Morin,\N,\N,nm1263982,nm1263982
Mirra Principi,"1871",\N,nm1264018,nm1264018
Mrs. George Gebhardt,\N,\N,nm1265835,nm1265835
Oscar Langkilde,"1874","1953",nm1266292,nm1266292
Leslie Loveridge,"1907","1972",nm1266374,nm1266374
Axel Mattsson,"1887","1937",nm1266474,nm1266474
Wallace McCutcheon Jr.,"1880","1928",nm1266490,nm1266490
Mrs. Wallace McCutcheon,"1866","1936",nm1266491,nm1266491
Mesnery,\N,\N,nm1266519,nm1266519
Miklós Faludi,\N,\N,nm12667782,nm12667782
Béla Erényi,"1872","1935",nm12667783,nm12667783
Suzanne Seylor,\N,\N,nm1267013,nm1267013
M. Simome,\N,\N,nm12670640,nm12670640
Einar Zangenberg,"1882","1918",nm1267460,nm1267460
Grover Cleveland Alexander,"1887","1950",nm1267548,nm1267548
Henry C. Carey,\N,\N,nm1267949,nm1267949
Bill Carrigan,"1883","1969",nm1267957,nm1267957
George Chalmers,"1888","1960",nm1267981,nm1267981
Gavvy Cravath,"1881","1963",nm1268106,nm1268106
Rube Foster,"1888","1976",nm1268447,nm1268447
Frau Gude,\N,\N,nm1268667,nm1268667
Edna Sharpe,"1890","1967",nm1270151,nm1270151
Eugenie Werner,\N,\N,nm1270556,nm1270556
C.W. Bachman,"1863","1947",nm1271184,nm1271184
Danjuro Ichikawa,"1838","1903",nm1272063,nm1272063
Kikugoro Onoe V,\N,\N,nm1272675,nm1272675
Dave Bancroft,"1891","1972",nm1274772,nm1274772
Marion Brent,\N,\N,nm1274963,nm1274963
Teddy the Dog,\N,"1925",nm1275393,nm1275393
Édouard Grisollet,\N,\N,nm1279538,nm1279538
Joseph Kelly,\N,\N,nm1279904,nm1279904
Eva Nelson,"1893",\N,nm1280594,nm1280594
William J. Bauman,"1884","1960",nm1282454,nm1282454
Jane Paddock,\N,\N,nm1285495,nm1285495
Sitting Bull,"1831","1890",nm1286798,nm1286798
Florence Fitzroy,\N,\N,nm1287215,nm1287215
W.L. Lewis,\N,\N,nm1287786,nm1287786
Harry Loverin,\N,\N,nm1287826,nm1287826
Allen A. Martin,\N,\N,nm1287902,nm1287902
Merla Marion Metcalf,\N,\N,nm1287971,nm1287971
Fanny Northrope,\N,\N,nm1288120,nm1288120
Grace Tregarthen,\N,\N,nm1288774,nm1288774
Adrien Caillard,\N,\N,nm1291436,nm1291436
Laura Darville,\N,\N,nm1291814,nm1291814
Dick Parker,\N,\N,nm1294185,nm1294185
Eileen Goodin,\N,\N,nm1299611,nm1299611
Ettore Pesci,\N,\N,nm1301649,nm1301649
Gyp Williams,\N,\N,nm1303133,nm1303133
J.C. Buckstone,"1859","1924",nm1304340,nm1304340
Wyatt Burns,\N,\N,nm1304353,nm1304353
Hick Cady,"1886","1946",nm1304371,nm1304371
Del Gainer,"1886","1947",nm1304923,nm1304923
Olaf Henriksen,"1888","1962",nm1305174,nm1305174
Charles P. Müller,\N,\N,nm1305944,nm1305944
Larry Gardner,"1886","1976",nm1307394,nm1307394
Chauncey Depew,"1834","1928",nm1309758,nm1309758
Lev Zhurbin,"1978",\N,nm1311785,nm1311785
Max Büttner,"1859","1927",nm13155558,nm13155558
E. Vivian,\N,\N,nm1320386,nm1320386
Loma Besserer,\N,\N,nm1322270,nm1322270
Suzanne Erandis,\N,\N,nm1322742,nm1322742
Christiane Mandelys,"1873","1957",nm1323543,nm1323543
Maurice Vinot,"1888","1916",nm1324584,nm1324584
Hans Hyan,"1868","1944",nm1330620,nm1330620
Michelle,\N,\N,nm1332578,nm1332578
Mlle Barral,\N,\N,nm1333156,nm1333156
Blanchard,\N,\N,nm1333252,nm1333252
Coste,\N,\N,nm1333551,nm1333551
Eugene Creissel,\N,\N,nm1333564,nm1333564
Amélie de Pouzols,\N,\N,nm1333629,nm1333629
Marcelle Fleury,\N,\N,nm1333904,nm1333904
Fernand Godeau,\N,\N,nm1334052,nm1334052
Nathalie Jerome,\N,\N,nm1334402,nm1334402
Maiapolska,\N,\N,nm1334821,nm1334821
Jane Maylianes,\N,\N,nm1334895,nm1334895
Gaston Paulin,\N,"1921",nm1335271,nm1335271
La Petite Lily,\N,\N,nm1335308,nm1335308
Léa Piron,\N,\N,nm1335335,nm1335335
Mademoiselle Rianza,\N,\N,nm1335492,nm1335492
J.C. Whitcomb,\N,\N,nm1336171,nm1336171
Yvonne Mario,\N,\N,nm1336964,nm1336964
Robert Smith,\N,\N,nm1338022,nm1338022
Édouard Pinto,"1887",\N,nm1338028,nm1338028
Maria Ann Lovell,\N,\N,nm13388805,nm13388805
Madame d'Aulnoy,\N,\N,nm1340310,nm1340310
S. Jones,\N,\N,nm1345078,nm1345078
Victor Kainer,"1905","1922",nm1346516,nm1346516
Audrey Littlefield,"1906","1970",nm1346727,nm1346727
J.C. Smith,\N,\N,nm1347478,nm1347478
Harry Blyth,\N,\N,nm1348998,nm1348998
Frances Cummings,\N,"1923",nm1350083,nm1350083
Min Johnson,\N,\N,nm1352982,nm1352982
Reinhold Flügel,\N,\N,nm1355020,nm1355020
Ray Francis,\N,\N,nm1355040,nm1355040
Bessie McCoy,"1884","1931",nm1355849,nm1355849
George McDermott,\N,\N,nm1355851,nm1355851
W.G. Rice,\N,\N,nm1356332,nm1356332
Grete Weixler,"1900","1921",nm1356916,nm1356916
Lassie,\N,\N,nm13577236,nm13577236
Ellen Aggerholm,"1882","1963",nm1358884,nm1358884
Willard Gardner,\N,\N,nm1359591,nm1359591
Mr. Rivary,\N,\N,nm1360649,nm1360649
Willie West,\N,\N,nm1361626,nm1361626
Jay Hanna,"1886","1957",nm1363590,nm1363590
Otto Rung,"1874","1945",nm1364406,nm1364406
Virginia K. Tucker,\N,\N,nm1364707,nm1364707
George B. Hoyt,\N,\N,nm1368553,nm1368553
James F. Brady,\N,\N,nm1370230,nm1370230
Clarence L. Carey,\N,\N,nm1370310,nm1370310
Willis Secord,\N,\N,nm1372000,nm1372000
Sam Stillwell,\N,\N,nm1372137,nm1372137
Lillian Hines,\N,\N,nm1373143,nm1373143
Bud Jerome Anderson,"1872",\N,nm1374391,nm1374391
Raffaele Caravaglios,\N,\N,nm1374692,nm1374692
Mary Clowes,\N,\N,nm1374785,nm1374785
Sandro Properzi,\N,\N,nm1376180,nm1376180
Emilio Roncarolo,\N,\N,nm1376296,nm1376296
P.J. Bourke,\N,\N,nm13782575,nm13782575
Marvin Faylen,\N,\N,nm1379916,nm1379916
Luis Mazzantini,\N,\N,nm1380868,nm1380868
Imp the Dog,\N,\N,nm1384776,nm1384776
Helen Taft,\N,\N,nm13854465,nm13854465
Charlotte Singleton,\N,\N,nm1387392,nm1387392
Phillip Tyron,\N,\N,nm1387764,nm1387764
Marie A. Wing,\N,\N,nm1388010,nm1388010
Paul Tietjens,\N,\N,nm13890136,nm13890136
Walter Dalgleish,\N,\N,nm13903996,nm13903996
Clara Stevenson,\N,\N,nm13904309,nm13904309
George Corti,\N,\N,nm13904310,nm13904310
Klaas Schout,\N,\N,nm13912381,nm13912381
Michael Mortilla,\N,\N,nm1394418,nm1394418
Dick Scott,\N,\N,nm1396754,nm1396754
István Kiss,\N,\N,nm13967547,nm13967547
Neva Don Carlos,"1889",\N,nm1397726,nm1397726
Fred Ilenstine,"1889","1968",nm1398184,nm1398184
J. Travers,\N,\N,nm1399399,nm1399399
George Creel,"1876","1953",nm1399761,nm1399761
Earl Howell,"1883","1918",nm1399833,nm1399833
William A. Russell,"1878","1914",nm1400009,nm1400009
Jimmie McIntyre,\N,\N,nm1402894,nm1402894
Sophie Osborn,\N,\N,nm1403103,nm1403103
Elmer Thompson,\N,\N,nm1403670,nm1403670
Daniel P. Kelleher,"1896","1958",nm1411720,nm1411720
Lew Rushing,\N,\N,nm1413247,nm1413247
Glenn Shaver,\N,\N,nm1413423,nm1413423
Miriam Horwitz,"1882","1967",nm1414472,nm1414472
Alice Danzinger,\N,\N,nm1415343,nm1415343
Al Jacoby,\N,\N,nm1415907,nm1415907
Ivan Andreyevich Krylov,\N,\N,nm1416083,nm1416083
Josephine Duval,\N,\N,nm1420037,nm1420037
Cyril Leonard,\N,\N,nm1422578,nm1422578
Hal Angus,"1890","1977",nm1424262,nm1424262
Florence Geneva,\N,\N,nm1428564,nm1428564
Lindsay Gray,"1868",\N,nm1428608,nm1428608
Irene Brogen,\N,\N,nm14297096,nm14297096
Nicholas Brierley,"1880","1935",nm1431224,nm1431224
Leon J. Suckert,\N,\N,nm1432527,nm1432527
Ragnhild Christensen,\N,\N,nm1434907,nm1434907
Kate McCabe,\N,\N,nm1436533,nm1436533
Frederik Schack-Jensen,"1877","1963",nm1437421,nm1437421
Erling Stensgaard,\N,\N,nm1437660,nm1437660
Minnie Meyer,\N,\N,nm1440041,nm1440041
Richard Wirth,"1857","1938",nm1448664,nm1448664
Pierre Sales,"1856","1914",nm1455759,nm1455759
Victor Fabian,"1869","1922",nm1458507,nm1458507
Elna From,"1869","1943",nm1458590,nm1458590
Otto Lagoni,"1868","1944",nm1459190,nm1459190
Mae Hamilton,\N,\N,nm1463771,nm1463771
Emil Kruschke,\N,\N,nm1464377,nm1464377
Kame Nee,\N,\N,nm1465134,nm1465134
R. Peyton,\N,\N,nm1465420,nm1465420
Julia M. Purdy,\N,\N,nm1465569,nm1465569
E. Trelawney,\N,\N,nm1466453,nm1466453
James G. Steven,\N,\N,nm1475455,nm1475455
Alfred Tostary,"1872",\N,nm1475687,nm1475687
J.F. Natteford,\N,\N,nm14793212,nm14793212
Ferdinand Richter,\N,\N,nm1491428,nm1491428
Fritz Junkermann,"1883","1942",nm1493129,nm1493129
Ilse Oeser,\N,\N,nm1493781,nm1493781
Hans Staufen,\N,\N,nm1494341,nm1494341
Berhold Weiss,\N,\N,nm1494622,nm1494622
Hermann Litt,\N,\N,nm1495193,nm1495193
Mabel Harris,\N,\N,nm1495608,nm1495608
Frau Karsten,\N,\N,nm1495634,nm1495634
Lotta Savoy,\N,\N,nm14997122,nm14997122
DeWitt C. Wheeler,\N,\N,nm14997123,nm14997123
Bertha Laurentius,\N,\N,nm1505494,nm1505494
Boris Lensky,\N,\N,nm1508049,nm1508049
Otto Zeegers,\N,\N,nm1517169,nm1517169
Y. Spinner,\N,\N,nm15212932,nm15212932
Conchita Ledesma,\N,\N,nm1523929,nm1523929
Pier Camillo Tovagliari,\N,\N,nm1525319,nm1525319
Donald Sosin,"1951",\N,nm1529472,nm1529472
Helen Wright,"1868","1928",nm1530337,nm1530337
Hilmar Clausen,"1888","1951",nm1531372,nm1531372
Waldemar Hansen,"1891","1960",nm1531812,nm1531812
Henny Lauritzen,"1871","1938",nm1532213,nm1532213
Mrs. Hepworth,"1873","1917",nm1539443,nm1539443
Veronica Marsh,\N,\N,nm1550583,nm1550583
